Date,CAPE
1958-12-01,17.36
1958-11-01,16.99
1958-10-01,16.56
1958-09-01,15.93
1958-08-01,15.54
1958-07-01,14.96
1958-06-01,14.64
1958-05-01,14.32
1958-04-01,13.91
1958-03-01,13.93
1958-02-01,13.78
1958-01-01,13.79
1957-12-01,13.67
1957-11-01,13.74
1957-10-01,14.15
1957-09-01,15.16
1957-08-01,15.87
1957-07-01,16.87
1957-06-01,16.73
1957-05-01,16.6
1957-04-01,16.12
1957-03-01,15.9
1957-02-01,15.84
1957-01-01,16.72
1956-12-01,17.2
1956-11-01,17.12
1956-10-01,17.42
1956-09-01,17.84
1956-08-01,18.67
1956-07-01,18.86
1956-06-01,18.16
1956-05-01,18.54
1956-04-01,19.37
1956-03-01,19.37
1956-02-01,18.27
1956-01-01,18.29
1955-12-01,18.94
1955-11-01,18.84
1955-10-01,17.77
1955-09-01,18.84
1955-08-01,18.22
1955-07-01,18.45
1955-06-01,17.37
1955-05-01,16.52
1955-04-01,16.69
1955-03-01,16.22
1955-02-01,16.44
1955-01-01,15.99
1954-12-01,15.79
1954-11-01,15.12
1954-10-01,14.62
1954-09-01,14.36
1954-08-01,14.04
1954-07-01,13.83
1954-06-01,13.36
1954-05-01,13.31
1954-04-01,12.91
1954-03-01,12.42
1954-02-01,12.22
1954-01-01,12.0
1953-12-01,11.75
1953-11-01,11.64
1953-10-01,11.39
1953-09-01,11.14
1953-08-01,11.71
1953-07-01,11.75
1953-06-01,11.62
1953-05-01,12.14
1953-04-01,12.16
1953-03-01,12.83
1953-02-01,12.86
1953-01-01,13.01
1952-12-01,12.93
1952-11-01,12.47
1952-10-01,12.13
1952-09-01,12.43
1952-08-01,12.68
1952-07-01,12.67
1952-06-01,12.45
1952-05-01,12.2
1952-04-01,12.24
1952-03-01,12.36
1952-02-01,12.36
1952-01-01,12.53
1951-12-01,12.15
1951-11-01,11.85
1951-10-01,12.31
1951-09-01,12.44
1951-08-01,12.26
1951-07-01,11.78
1951-06-01,11.62
1951-05-01,11.86
1951-04-01,11.95
1951-03-01,11.84
1951-02-01,12.14
1951-01-01,11.9
1950-12-01,11.31
1950-11-01,11.54
1950-10-01,11.66
1950-09-01,11.34
1950-08-01,11.04
1950-07-01,10.54
1950-06-01,11.55
1950-05-01,11.46
1950-04-01,11.18
1950-03-01,10.91
1950-02-01,10.91
1950-01-01,10.75
1949-12-01,10.53
1949-11-01,10.22
1949-10-01,10.17
1949-09-01,9.88
1949-08-01,9.85
1949-07-01,9.61
1949-06-01,9.07
1949-05-01,9.69
1949-04-01,9.78
1949-03-01,9.9
1949-02-01,9.87
1949-01-01,10.25
1948-12-01,10.16
1948-11-01,10.25
1948-10-01,10.83
1948-09-01,10.55
1948-08-01,10.72
1948-07-01,11.13
1948-06-01,11.58
1948-05-01,11.24
1948-04-01,10.78
1948-03-01,10.19
1948-02-01,10.0
1948-01-01,10.42
1947-12-01,10.68
1947-11-01,10.98
1947-10-01,11.13
1947-09-01,10.83
1947-08-01,11.34
1947-07-01,11.7
1947-06-01,11.08
1947-05-01,10.73
1947-04-01,10.9
1947-03-01,11.29
1947-02-01,11.95
1947-01-01,11.47
1946-12-01,11.37
1946-11-01,11.11
1946-10-01,11.39
1946-09-01,11.84
1946-08-01,13.98
1946-07-01,14.51
1946-06-01,15.77
1946-05-01,16.01
1946-04-01,16.04
1946-03-01,15.13
1946-02-01,15.76
1946-01-01,15.62
1945-12-01,15.02
1945-11-01,14.85
1945-10-01,14.37
1945-09-01,13.8
1945-08-01,12.91
1945-07-01,12.87
1945-06-01,13.13
1945-05-01,13.04
1945-04-01,12.63
1945-03-01,12.32
1945-02-01,12.34
1945-01-01,11.96
1944-12-01,11.64
1944-11-01,11.48
1944-10-01,11.58
1944-09-01,11.33
1944-08-01,11.54
1944-07-01,11.74
1944-06-01,11.53
1944-05-01,11.1
1944-04-01,10.94
1944-03-01,11.22
1944-02-01,10.95
1944-01-01,11.05
1943-12-01,10.74
1943-11-01,10.63
1943-10-01,11.19
1943-09-01,11.34
1943-08-01,11.21
1943-07-01,11.77
1943-06-01,11.51
1943-05-01,11.36
1943-04-01,11.04
1943-03-01,10.85
1943-02-01,10.71
1943-01-01,10.15
1942-12-01,9.62
1942-11-01,9.66
1942-10-01,9.6
1942-09-01,9.08
1942-08-01,9.01
1942-07-01,9.15
1942-06-01,8.9
1942-05-01,8.5
1942-04-01,8.54
1942-03-01,9.0
1942-02-01,9.68
1942-01-01,10.1
1941-12-01,10.08
1941-11-01,10.91
1941-10-01,11.58
1941-09-01,12.28
1941-08-01,12.46
1941-07-01,12.74
1941-06-01,12.16
1941-05-01,12.03
1941-04-01,12.43
1941-03-01,12.95
1941-02-01,13.0
1941-01-01,13.9
1940-12-01,13.91
1940-11-01,14.63
1940-10-01,14.32
1940-09-01,14.21
1940-08-01,13.65
1940-07-01,13.37
1940-06-01,12.84
1940-05-01,14.14
1940-04-01,16.37
1940-03-01,16.17
1940-02-01,16.21
1940-01-01,16.37
1939-12-01,16.28
1939-11-01,16.6
1939-10-01,16.82
1939-09-01,16.45
1939-08-01,15.12
1939-07-01,15.27
1939-06-01,14.83
1939-05-01,14.5
1939-04-01,13.91
1939-03-01,15.73
1939-02-01,15.66
1939-01-01,15.6
1938-12-01,15.75
1938-11-01,16.14
1938-10-01,16.06
1938-09-01,14.28
1938-08-01,14.9
1938-07-01,14.77
1938-06-01,12.28
1938-05-01,11.99
1938-04-01,11.79
1938-03-01,12.37
1938-02-01,13.26
1938-01-01,13.51
1937-12-01,13.0
1937-11-01,13.15
1937-10-01,14.36
1937-09-01,16.84
1937-08-01,19.8
1937-07-01,19.64
1937-06-01,18.71
1937-05-01,19.47
1937-04-01,20.55
1937-03-01,22.03
1937-02-01,22.23
1937-01-01,21.61
1936-12-01,21.12
1936-11-01,21.49
1936-10-01,20.9
1936-09-01,19.85
1936-08-01,19.62
1936-07-01,19.35
1936-06-01,18.39
1936-05-01,17.74
1936-04-01,18.71
1936-03-01,18.65
1936-02-01,18.1
1936-01-01,17.08
1935-12-01,16.15
1935-11-01,16.12
1935-10-01,14.82
1935-09-01,14.41
1935-08-01,14.1
1935-07-01,13.2
1935-06-01,12.53
1935-05-01,11.98
1935-04-01,11.1
1935-03-01,10.39
1935-02-01,11.08
1935-01-01,11.49
1934-12-01,11.63
1934-11-01,11.44
1934-10-01,11.1
1934-09-01,10.91
1934-08-01,11.31
1934-07-01,11.74
1934-06-01,12.28
1934-05-01,12.18
1934-04-01,13.51
1934-03-01,13.25
1934-02-01,13.92
1934-01-01,13.02
1933-12-01,12.28
1933-11-01,12.01
1933-10-01,11.69
1933-09-01,12.92
1933-08-01,12.99
1933-07-01,13.75
1933-06-01,13.09
1933-05-01,11.25
1933-04-01,8.72
1933-03-01,7.87
1933-02-01,7.82
1933-01-01,8.73
1932-12-01,8.25
1932-11-01,8.46
1932-10-01,8.48
1932-09-01,9.76
1932-08-01,8.83
1932-07-01,5.84
1932-06-01,5.56
1932-05-01,6.39
1932-04-01,7.19
1932-03-01,9.41
1932-02-01,9.33
1932-01-01,9.31
1931-12-01,9.3
1931-11-01,11.41
1931-10-01,11.14
1931-09-01,12.81
1931-08-01,15.0
1931-07-01,15.51
1931-06-01,15.06
1931-05-01,15.4
1931-04-01,16.87
1931-03-01,18.57
1931-02-01,18.15
1931-01-01,16.7
1930-12-01,16.05
1930-11-01,16.93
1930-10-01,18.21
1930-09-01,21.06
1930-08-01,21.29
1930-07-01,21.54
1930-06-01,21.86
1930-05-01,24.3
1930-04-01,25.83
1930-03-01,24.57
1930-02-01,23.68
1930-01-01,22.3
1929-12-01,22.0
1929-11-01,21.16
1929-10-01,28.94
1929-09-01,32.54
1929-08-01,31.46
1929-07-01,29.91
1929-06-01,27.92
1929-05-01,27.68
1929-04-01,27.55
1929-03-01,27.66
1929-02-01,27.11
1929-01-01,27.06
1928-12-01,25.28
1928-11-01,25.1
1928-10-01,23.56
1928-09-01,22.99
1928-08-01,21.75
1928-07-01,21.07
1928-06-01,20.9
1928-05-01,21.82
1928-04-01,21.24
1928-03-01,19.93
1928-02-01,18.86
1928-01-01,18.79
1927-12-01,18.63
1927-11-01,18.12
1927-10-01,17.53
1927-09-01,17.81
1927-08-01,16.85
1927-07-01,15.81
1927-06-01,15.11
1927-05-01,14.99
1927-04-01,14.48
1927-03-01,14.02
1927-02-01,13.63
1927-01-01,13.18
1926-12-01,13.0
1926-11-01,12.61
1926-10-01,12.42
1926-09-01,12.68
1926-08-01,12.48
1926-07-01,11.86
1926-06-01,11.19
1926-05-01,10.57
1926-04-01,10.39
1926-03-01,10.71
1926-02-01,11.38
1926-01-01,11.33
1925-12-01,11.14
1925-11-01,10.88
1925-10-01,10.71
1925-09-01,10.35
1925-08-01,10.1
1925-07-01,9.96
1925-06-01,9.79
1925-05-01,9.72
1925-04-01,9.47
1925-03-01,9.51
1925-02-01,9.82
1925-01-01,9.69
1924-12-01,9.31
1924-11-01,8.88
1924-10-01,8.41
1924-09-01,8.58
1924-08-01,8.71
1924-07-01,8.37
1924-06-01,8.05
1924-05-01,7.89
1924-04-01,7.92
1924-03-01,8.05
1924-02-01,8.16
1924-01-01,8.07
1923-12-01,7.8
1923-11-01,7.54
1923-10-01,7.31
1923-09-01,7.45
1923-08-01,7.44
1923-07-01,7.34
1923-06-01,7.67
1923-05-01,8.0
1923-04-01,8.37
1923-03-01,8.7
1923-02-01,8.53
1923-01-01,8.15
1922-12-01,7.96
1922-11-01,7.99
1922-10-01,8.43
1922-09-01,8.26
1922-08-01,8.02
1922-07-01,7.6
1922-06-01,7.55
1922-05-01,7.59
1922-04-01,7.27
1922-03-01,6.82
1922-02-01,6.46
1922-01-01,6.28
1921-12-01,6.11
1921-11-01,5.83
1921-10-01,5.48
1921-09-01,5.37
1921-08-01,5.16
1921-07-01,5.19
1921-06-01,5.21
1921-05-01,5.61
1921-04-01,5.29
1921-03-01,5.19
1921-02-01,5.27
1921-01-01,5.12
1920-12-01,4.78
1920-11-01,5.12
1920-10-01,5.35
1920-09-01,5.29
1920-08-01,5.02
1920-07-01,5.08
1920-06-01,5.04
1920-05-01,5.18
1920-04-01,5.6
1920-03-01,5.79
1920-02-01,5.45
1920-01-01,5.99
1919-12-01,6.16
1919-11-01,6.46
1919-10-01,6.79
1919-09-01,6.55
1919-08-01,6.47
1919-07-01,7.05
1919-06-01,7.02
1919-05-01,6.82
1919-04-01,6.45
1919-03-01,6.35
1919-02-01,6.23
1919-01-01,6.09
1918-12-01,6.13
1918-11-01,6.33
1918-10-01,6.28
1918-09-01,6.14
1918-08-01,6.3
1918-07-01,6.37
1918-06-01,6.49
1918-05-01,6.58
1918-04-01,6.51
1918-03-01,6.68
1918-02-01,6.78
1918-01-01,6.63
1917-12-01,6.41
1917-11-01,6.75
1917-10-01,7.38
1917-09-01,7.94
1917-08-01,8.56
1917-07-01,8.99
1917-06-01,9.14
1917-05-01,9.13
1917-04-01,9.63
1917-03-01,10.32
1917-02-01,10.05
1917-01-01,10.98
1916-12-01,11.4
1916-11-01,12.04
1916-10-01,12.03
1916-09-01,11.93
1916-08-01,11.72
1916-07-01,11.78
1916-06-01,11.98
1916-05-01,12.01
1916-04-01,11.89
1916-03-01,12.16
1916-02-01,12.34
1916-01-01,12.53
1915-12-01,12.86
1915-11-01,12.84
1915-10-01,12.53
1915-09-01,12.0
1915-08-01,11.57
1915-07-01,11.1
1915-06-01,11.14
1915-05-01,11.01
1915-04-01,11.38
1915-03-01,10.69
1915-02-01,10.31
1915-01-01,10.34
1914-12-01,10.16
1914-11-01,10.5
1914-10-01,10.6
1914-09-01,10.48
1914-08-01,10.48
1914-07-01,10.68
1914-06-01,11.41
1914-05-01,11.46
1914-04-01,11.51
1914-03-01,11.67
1914-02-01,11.89
1914-01-01,11.62
1913-12-01,11.16
1913-11-01,11.06
1913-10-01,11.45
1913-09-01,11.82
1913-08-01,11.83
1913-07-01,11.52
1913-06-01,11.47
1913-05-01,12.2
1913-04-01,12.41
1913-03-01,12.42
1913-02-01,12.66
1913-01-01,13.13
1912-12-01,13.37
1912-11-01,13.73
1912-10-01,13.88
1912-09-01,13.9
1912-08-01,13.97
1912-07-01,13.78
1912-06-01,13.76
1912-05-01,13.63
1912-04-01,13.64
1912-03-01,13.62
1912-02-01,13.51
1912-01-01,13.78
1911-12-01,13.9
1911-11-01,13.71
1911-10-01,13.04
1911-09-01,12.97
1911-08-01,13.88
1911-07-01,15.06
1911-06-01,15.31
1911-05-01,15.03
1911-04-01,14.73
1911-03-01,14.34
1911-02-01,14.7
1911-01-01,14.02
1910-12-01,13.72
1910-11-01,14.14
1910-10-01,13.9
1910-09-01,12.92
1910-08-01,12.72
1910-07-01,12.32
1910-06-01,12.99
1910-05-01,13.55
1910-04-01,13.54
1910-03-01,14.02
1910-02-01,13.97
1910-01-01,14.52
1909-12-01,14.73
1909-11-01,14.72
1909-10-01,14.97
1909-09-01,15.23
1909-08-01,15.4
1909-07-01,15.21
1909-06-01,15.01
1909-05-01,14.94
1909-04-01,14.62
1909-03-01,14.32
1909-02-01,14.15
1909-01-01,14.75
1908-12-01,14.56
1908-11-01,14.42
1908-10-01,13.67
1908-09-01,13.69
1908-08-01,13.87
1908-07-01,13.33
1908-06-01,13.03
1908-05-01,13.06
1908-04-01,12.43
1908-03-01,11.97
1908-02-01,11.54
1908-01-01,11.89
1907-12-01,11.32
1907-11-01,10.58
1907-10-01,10.83
1907-09-01,12.31
1907-08-01,12.5
1907-07-01,13.57
1907-06-01,13.13
1907-05-01,13.78
1907-04-01,14.66
1907-03-01,14.68
1907-02-01,16.19
1907-01-01,17.19
1906-12-01,17.64
1906-11-01,18.12
1906-10-01,18.08
1906-09-01,19.18
1906-08-01,18.94
1906-07-01,18.17
1906-06-01,18.16
1906-05-01,18.04
1906-04-01,18.85
1906-03-01,19.23
1906-02-01,19.84
1906-01-01,20.1
1905-12-01,19.55
1905-11-01,19.43
1905-10-01,19.87
1905-09-01,19.72
1905-08-01,19.56
1905-07-01,19.18
1905-06-01,18.71
1905-05-01,18.6
1905-04-01,19.47
1905-03-01,19.82
1905-02-01,19.14
1905-01-01,18.44
1904-12-01,18.14
1904-11-01,18.05
1904-10-01,17.61
1904-09-01,16.72
1904-08-01,16.29
1904-07-01,16.01
1904-06-01,15.45
1904-05-01,15.5
1904-04-01,15.54
1904-03-01,15.07
1904-02-01,15.0
1904-01-01,15.84
1903-12-01,16.02
1903-11-01,15.38
1903-10-01,15.24
1903-09-01,15.63
1903-08-01,16.28
1903-07-01,16.9
1903-06-01,17.79
1903-05-01,18.93
1903-04-01,18.96
1903-03-01,19.87
1903-02-01,20.08
1903-01-01,20.29
1902-12-01,19.61
1902-11-01,20.38
1902-10-01,20.58
1902-09-01,22.83
1902-08-01,23.13
1902-07-01,22.36
1902-06-01,21.94
1902-05-01,22.39
1902-04-01,22.8
1902-03-01,22.37
1902-02-01,22.41
1902-01-01,22.3
1901-12-01,21.65
1901-11-01,22.33
1901-10-01,22.22
1901-09-01,22.56
1901-08-01,23.03
1901-07-01,23.11
1901-06-01,25.18
1901-05-01,23.01
1901-04-01,24.36
1901-03-01,22.32
1901-02-01,21.65
1901-01-01,20.94
1900-12-01,20.72
1900-11-01,19.38
1900-10-01,18.07
1900-09-01,17.32
1900-08-01,18.04
1900-07-01,17.67
1900-06-01,17.96
1900-05-01,18.38
1900-04-01,18.91
1900-03-01,18.75
1900-02-01,18.68
1900-01-01,18.63
