Date,DP,PE,BM,CAPE,PCAprice
1990-01-31,0.0328,14.97,0.506072874,16.51,-2.77815234549
1990-02-28,0.034,15.62,0.498877526,16.83,-2.81243260028
1990-03-31,0.0334,15.7,0.504948495,16.81,-2.80089942819
1990-04-30,0.0338,16.37,0.520210165,17.39,-2.89184745294
1990-05-31,0.033,16.95,0.476871722,17.82,-2.48486922637
1990-06-30,0.0324,16.81,0.488066768,17.75,-2.51218200777
1990-07-31,0.0326,15.33,0.490508657,16.17,-2.68523682453
1990-08-31,0.0356,14.51,0.54247586,15.3,-3.39243020108
1990-09-30,0.0375,14.21,0.576601511,14.82,-3.84292720971
1990-10-31,0.0388,14.68,0.58058523,15.19,-3.95775781207
1990-11-30,0.0381,15.41,0.547765118,15.85,-3.61162861575
1990-12-31,0.0368,15.35,0.540511324,15.61,-3.46403315502
1991-01-31,0.0372,17.19,0.519534497,17.36,-3.20513837628
1991-02-28,0.0334,17.78,0.48756704,17.82,-2.59756322569
1991-03-31,0.0325,18.58,0.477053716,18.16,-2.41483653035
1991-04-30,0.0319,18.98,0.477144766,18.03,-2.37340499345
1991-05-31,0.0321,19.49,0.460638445,18.01,-2.28236447352
1991-06-30,0.0321,20.14,0.486878621,18.1,-2.45590773038
1991-07-31,0.0321,21.22,0.466526709,18.51,-2.28318520773
1991-08-31,0.0314,21.73,0.457351932,18.36,-2.17134658458
1991-09-30,0.0317,22.49,0.467836257,18.35,-2.27407822567
1991-10-31,0.0317,23.27,0.462620281,18.29,-2.24641481227
1991-11-30,0.0317,24.33,0.481741979,18.44,-2.36719531189
1991-12-31,0.0314,25.93,0.434537001,19.77,-1.90171559653
1992-01-31,0.0294,25.6,0.44345898,19.58,-1.79503276514
1992-02-29,0.0298,25.16,0.440703363,19.28,-1.83860939374
1992-03-31,0.0303,24.73,0.442673749,19.3,-1.89480209508
1992-04-30,0.0302,24.75,0.431667098,19.66,-1.7778194471
1992-05-31,0.0297,23.95,0.42859592,19.31,-1.73984815279
1992-06-30,0.0302,23.88,0.446588067,19.62,-1.88062320112
1992-07-31,0.0297,23.6,0.429479471,19.72,-1.70764891008
1992-08-31,0.0296,23.2,0.440451022,19.71,-1.77309318449
1992-09-30,0.0296,22.43,0.440703363,19.37,-1.80300671865
1992-10-31,0.03,22.56,0.439850451,19.83,-1.79276406758
1992-11-30,0.0293,22.82,0.427587976,20.45,-1.58933223469
1992-12-31,0.0284,22.5,0.398501634,20.32,-1.31831932126
1993-01-31,0.0285,22.55,0.394851141,20.54,-1.28280510829
1993-02-28,0.0282,22.69,0.390411494,20.85,-1.19729052844
1993-03-31,0.0277,22.53,0.384452732,20.46,-1.1453108067
1993-04-30,0.0282,22.83,0.395210054,20.52,-1.26042980702
1993-05-31,0.0281,23.18,0.386892096,20.61,-1.18735778431
1993-06-30,0.0279,22.72,0.387882549,20.56,-1.17874468013
1993-07-31,0.028,22.65,0.390945698,20.81,-1.18604896582
1993-08-31,0.0276,22.5,0.378100423,20.99,-1.04462968548
1993-09-30,0.0273,22.19,0.387762224,21.11,-1.07127517622
1993-10-31,0.027,21.63,0.380995923,21.04,-1.00188053672
1993-11-30,0.0271,21.29,0.383244548,21.16,-1.01447097946
1993-12-31,0.027,21.34,0.379693967,21.41,-0.958546448959
1994-01-31,0.0267,21.02,0.368636414,21.26,-0.867827037518
1994-02-28,0.0269,20.42,0.379463439,20.83,-0.997172180464
1994-03-31,0.0274,19.0,0.402673754,20.05,-1.26773293165
1994-04-30,0.0285,18.5,0.398962697,20.19,-1.32911319144
1994-05-31,0.0284,18.05,0.394851141,20.29,-1.28125301756
1994-06-30,0.0282,17.42,0.409182045,20.07,-1.37871646449
1994-07-31,0.0285,17.44,0.397725013,20.53,-1.28637021226
1994-08-31,0.0278,17.09,0.383567949,20.57,-1.12040127473
1994-09-30,0.0277,16.32,0.402026212,20.39,-1.25120880371
1994-10-31,0.028,15.62,0.39569484,20.21,-1.24941425918
1994-11-30,0.0284,14.88,0.411776817,19.91,-1.42086876941
1994-12-31,0.0289,14.89,0.411184211,20.22,-1.43476380224
1995-01-31,0.0283,15.11,0.402625116,20.8,-1.2693431615
1995-02-28,0.0273,15.15,0.388802488,21.15,-1.05135290337
1995-03-31,0.0267,15.31,0.394337316,21.64,-0.990294561785
1995-04-30,0.0261,15.5,0.38647343,22.19,-0.832243470915
1995-05-31,0.0254,15.67,0.374279512,22.72,-0.63712065701
1995-06-30,0.0248,16.07,0.371691942,23.37,-0.506821941204
1995-07-31,0.0241,16.01,0.364179322,23.28,-0.39903220666
1995-08-31,0.0242,16.45,0.365056766,23.94,-0.356000335185
1995-09-30,0.0235,16.76,0.355050595,23.93,-0.225147092215
1995-10-31,0.0234,17.33,0.356760614,24.35,-0.191568110847
1995-11-30,0.023,18.1,0.345649995,25.03,-0.0198581527591
1995-12-31,0.0224,18.08,0.341565051,24.76,0.0388791288844
1996-01-31,0.0226,19.1,0.331071015,25.97,0.19832900511
1996-02-29,0.0216,19.01,0.329521864,25.63,0.270381519593
1996-03-31,0.0218,18.85,0.332159702,25.42,0.215494572439
1996-04-30,0.0219,19.1,0.328277854,25.81,0.267300647704
1996-05-31,0.0215,19.15,0.321099444,25.96,0.366571977082
1996-06-30,0.0214,18.26,0.326402716,24.86,0.242959630422
1996-07-31,0.0224,18.6,0.343088483,25.41,0.0855113477677
1996-08-31,0.0219,18.75,0.337074864,25.68,0.196524068707
1996-09-30,0.0217,19.0,0.324654243,26.48,0.371398148499
1996-10-31,0.021,19.45,0.317017499,27.58,0.585961495423
1996-11-30,0.0201,19.19,0.295857988,27.72,0.826962230424
1996-12-31,0.02,19.53,0.316545852,28.33,0.748654139333
1997-01-31,0.0195,20.09,0.29921307,29.26,0.995431056267
1997-02-28,0.0188,19.69,0.298382765,28.8,1.02517335797
1997-03-31,0.019,18.94,0.311856795,27.58,0.806771988844
1997-04-30,0.0198,20.6,0.294611555,29.93,1.05823758263
1997-05-31,0.0182,21.61,0.277300205,31.25,1.43973551017
1997-06-30,0.0173,22.8,0.272257011,32.76,1.68955362916
1997-07-31,0.0164,22.83,0.252684776,32.58,1.88979017909
1997-08-31,0.0165,23.06,0.269461885,32.66,1.77229034822
1997-09-30,0.0164,23.58,0.259208378,32.9,1.87160439557
1997-10-31,0.0162,23.46,0.269411067,32.33,1.7690337945
1997-11-30,0.0164,24.23,0.258417965,33.03,1.8866063704
1997-12-31,0.0161,24.29,0.257029764,32.86,1.90810065202
1998-01-31,0.0161,25.85,0.255734854,34.71,2.07907987284
1998-02-28,0.0152,27.23,0.23917151,36.29,2.41341075826
1998-03-31,0.0145,28.26,0.228456548,37.27,2.63625132051
1998-04-30,0.0142,28.3,0.226875695,36.95,2.64556446169
1998-05-31,0.0143,28.44,0.231529717,36.8,2.590502501
1998-06-30,0.0144,29.9,0.22516944,38.26,2.75200757586
1998-07-31,0.0138,28.0,0.228670737,35.42,2.53267326827
1998-08-31,0.015,26.8,0.268089327,33.53,1.98577426661
1998-09-30,0.0158,27.2,0.25926214,33.77,1.99301625043
1998-10-31,0.0157,30.25,0.239303149,37.37,2.45418400086
1998-11-30,0.0141,31.56,0.225220153,38.82,2.82435424343
1998-12-31,0.0136,32.92,0.215396545,40.57,3.09125529147
1999-01-31,0.013,32.67,0.207477489,40.4,3.18603234912
1999-02-28,0.0131,33.39,0.214836617,41.35,3.21001573796
1999-03-31,0.0128,34.0,0.212833883,42.7,3.37135017518
1999-04-30,0.0123,33.19,0.205456936,42.55,3.45689992004
1999-05-31,0.0123,32.24,0.211367335,42.18,3.38616292366
1999-06-30,0.0124,32.88,0.205225029,43.83,3.5660880668
1999-07-31,0.012,30.89,0.213278734,41.93,3.38253918931
1999-08-31,0.0125,29.99,0.214808927,41.32,3.27394578427
1999-09-30,0.0126,28.66,0.224441701,40.55,3.13364113813
1999-10-31,0.0128,29.74,0.210774808,43.21,3.44573329119
1999-11-30,0.012,29.66,0.206539026,44.19,3.637130298
1999-12-31,0.0117,29.04,0.200549506,43.77,3.66975698175
2000-01-31,0.0117,27.76,0.211452254,42.18,3.45562879544
2000-02-29,0.0121,28.31,0.215889465,43.22,3.48073617311
2000-03-31,0.0116,28.5,0.200819343,43.53,3.65719270941
2000-04-30,0.0115,27.49,0.206649997,41.96,3.48786571297
2000-05-31,0.0118,28.16,0.210044319,42.78,3.50900271333
2000-06-30,0.0114,28.05,0.208615834,42.75,3.5531898475
2000-07-31,0.0113,27.97,0.215331611,42.87,3.52755344041
2000-08-31,0.0111,27.34,0.204624514,41.89,3.53265272278
2000-09-30,0.0111,26.5,0.21967883,39.37,3.20455075038
2000-10-31,0.0117,26.9,0.220901721,38.78,3.08635310899
2000-11-30,0.0118,26.62,0.240130631,37.27,2.80997985927
2000-12-31,0.0122,27.55,0.248428689,36.98,2.6871268309
2001-01-31,0.0121,27.81,0.246347892,35.83,2.60568415317
2001-02-28,0.0123,26.1,0.272205134,32.32,2.09865492802
2001-03-31,0.0135,27.96,0.295020061,32.17,1.81253023195
2001-04-30,0.0133,32.02,0.274355949,34.07,2.13060764398
2001-05-31,0.0124,33.67,0.272643001,33.07,2.12911248201
2001-06-30,0.0127,35.46,0.277062034,32.16,1.98305516885
2001-07-31,0.013,37.85,0.280804223,31.4,1.85319796283
2001-08-31,0.0133,36.9,0.299733237,27.67,1.36195249901
2001-09-30,0.0151,39.72,0.322040448,28.58,1.11682951701
2001-10-31,0.0146,43.62,0.316515794,30.01,1.31692903186
2001-11-30,0.0139,46.37,0.293944738,30.5,1.57084522664
2001-12-31,0.0137,46.17,0.290799116,30.28,1.59151551649
2002-01-31,0.0138,44.57,0.295255248,29.09,1.4495408042
2002-02-28,0.0143,46.71,0.302233506,30.29,1.45725368469
2002-03-31,0.0136,43.81,0.291953755,29.01,1.48580187235
2002-04-30,0.0142,41.41,0.305026842,28.13,1.26962043745
2002-05-31,0.0148,37.92,0.302260912,26.39,1.08765015093
2002-06-30,0.0158,32.46,0.327332242,23.46,0.577404835867
2002-07-31,0.0177,31.53,0.35593522,23.59,0.221953896389
2002-08-31,0.0174,28.89,0.35601125,22.36,0.146549253443
2002-09-30,0.0182,29.24,0.406025417,21.96,-0.30648134328
2002-10-31,0.0186,32.03,0.373636228,23.35,-0.00522801454627
2002-11-30,0.0176,32.59,0.356480821,23.1,0.179570416733
2002-12-31,0.0179,31.43,0.360256503,22.9,0.11193995426
2003-01-31,0.018,28.46,0.370768603,21.21,-0.112127273854
2003-02-28,0.0193,27.92,0.378300673,21.31,-0.272291689603
2003-03-31,0.0192,28.05,0.383362085,22.43,-0.196870587222
2003-04-30,0.0182,28.24,0.354987575,23.59,0.193430964407
2003-05-31,0.0173,28.6,0.338535495,24.83,0.499645217626
2003-06-30,0.0164,27.65,0.35040998,24.87,0.507898179485
2003-07-31,0.0164,26.57,0.345065562,24.64,0.52725397093
2003-08-31,0.0166,26.42,0.340529864,25.24,0.594665697008
2003-09-30,0.0163,24.75,0.348942704,25.68,0.610029658405
2003-10-31,0.0162,23.15,0.331005263,25.95,0.771679000885
2003-11-30,0.0163,22.17,0.329793549,26.64,0.8364410777
2003-12-31,0.0161,22.73,0.321822804,27.66,0.999736669426
2004-01-31,0.0155,22.46,0.317118031,27.65,1.08706006648
2004-02-29,0.0156,21.62,0.313695966,26.89,1.03534328596
2004-03-31,0.016,21.23,0.332446809,26.9,0.872501270165
2004-04-30,0.0161,20.14,0.339144001,25.9,0.730680989868
2004-05-31,0.0167,20.17,0.335559209,26.4,0.74518308237
2004-06-30,0.0164,19.51,0.335886067,25.7,0.709407197943
2004-07-31,0.017,19.03,0.34904014,25.17,0.517937267125
2004-08-31,0.0174,19.35,0.348286431,25.67,0.53048662845
2004-09-30,0.0171,19.25,0.356582513,25.41,0.478119520511
2004-10-31,0.0172,20.05,0.351592715,26.47,0.596269164921
2004-11-30,0.0166,20.48,0.340089784,27.14,0.78927059415
2004-12-31,0.0162,19.99,0.344186687,26.59,0.749892707691
2005-01-31,0.0167,20.11,0.35447166,26.74,0.646743511724
2005-02-28,0.0166,19.84,0.348614258,26.34,0.660729931907
2005-03-31,0.0169,19.02,0.360282461,25.41,0.4719525233
2005-04-30,0.0176,18.93,0.368161402,25.65,0.375721365383
2005-05-31,0.0176,19.0,0.357717761,26.07,0.484921794143
2005-06-30,0.0174,19.0,0.36416606,26.29,0.479083317426
2005-07-31,0.0173,18.72,0.351914414,26.1,0.555840710162
2005-08-31,0.0174,18.44,0.357283218,25.73,0.477389586797
2005-09-30,0.0175,17.64,0.362752566,24.88,0.356570388823
2005-10-31,0.0182,18.01,0.372203819,25.93,0.321306729963
2005-11-30,0.0178,18.07,0.359660481,26.44,0.489806199372
2005-12-31,0.0176,18.07,0.36575107,26.47,0.469231757009
2006-01-31,0.0175,17.8,0.357206644,26.25,0.517880078788
2006-02-28,0.0177,17.8,0.357500358,26.33,0.504724973977
2006-03-31,0.0176,17.77,0.360295442,26.15,0.478613955876
2006-04-30,0.0177,17.46,0.356417293,25.65,0.451768030421
2006-05-31,0.018,16.82,0.368976459,24.75,0.259009456231
2006-06-30,0.0187,16.61,0.375727973,24.7,0.144663729917
2006-07-31,0.0188,16.67,0.374784499,25.05,0.173381743508
2006-08-31,0.0185,16.77,0.366703337,25.64,0.309265175292
2006-09-30,0.0183,17.14,0.368677186,26.54,0.3943051491
2006-10-31,0.0179,17.24,0.358025133,26.93,0.538879904359
2006-11-30,0.0177,17.38,0.352348402,27.28,0.627285058621
2006-12-31,0.0176,17.36,0.351840124,27.21,0.633688645362
2007-01-31,0.0176,17.49,0.348760158,27.32,0.664275670978
2007-02-28,0.0175,16.92,0.357717761,26.23,0.515502256907
2007-03-31,0.0181,17.48,0.360633272,26.98,0.506379233706
2007-04-30,0.0176,17.92,0.345984846,27.55,0.702632902697
2007-05-31,0.0172,17.83,0.335289187,27.42,0.80111036696
2007-06-30,0.0173,18.36,0.345375423,27.41,0.720248136314
2007-07-31,0.0174,18.02,0.357398142,26.15,0.515984597701
2007-08-31,0.0184,19.05,0.352659049,26.73,0.505530412656
2007-09-30,0.018,20.68,0.344151151,27.32,0.648433471156
2007-10-31,0.0177,20.81,0.339627768,25.73,0.562722080482
2007-11-30,0.0188,22.35,0.355353399,25.96,0.36971966478
2007-12-31,0.0187,21.46,0.361350004,24.02,0.165396051576
2008-01-31,0.0203,21.74,0.384644973,23.5,-0.188979735225
2008-02-29,0.0207,21.81,0.398899039,22.61,-0.403981944373
2008-03-31,0.0215,23.88,0.401348531,23.36,-0.433321129298
2008-04-30,0.0208,25.81,0.384452732,23.7,-0.229069376772
2008-05-31,0.0204,26.11,0.380401704,22.42,-0.281351802095
2008-06-30,0.0214,25.37,0.41500664,20.91,-0.744101806416
2008-07-31,0.0229,26.83,0.418550142,21.4,-0.866742530773
2008-08-31,0.0225,26.48,0.41368469,20.36,-0.889585517831
2008-09-30,0.0237,27.22,0.440897668,16.39,-1.54754596001
2008-10-31,0.0296,34.99,0.533560986,15.26,-2.8517713961
2008-11-30,0.0323,58.98,0.577634011,15.38,-3.47039402681
2008-12-31,0.0323,70.91,0.500425362,15.17,-3.00085927935
2009-01-31,0.0324,84.46,0.542947117,14.12,-3.44099884157
2009-02-28,0.0343,110.37,0.609495947,13.32,-4.22945573991
2009-03-31,0.036,119.85,0.556204461,14.98,-3.9025145807
2009-04-30,0.0315,123.73,0.5093984,16.0,-3.08939010563
2009-05-31,0.029,123.32,0.489260727,16.38,-2.68613029385
2009-06-30,0.0276,101.87,0.520264294,16.69,-2.67017521896
2009-07-31,0.0267,92.95,0.487448209,18.09,-2.20666381862
2009-08-31,0.0242,83.3,0.480561296,18.83,-1.83075950292
2009-09-30,0.0229,42.12,0.471364601,19.36,-1.46343092944
2009-10-31,0.0219,28.51,0.482672073,19.81,-1.36290983899
2009-11-30,0.021,21.78,0.457142857,20.32,-1.03702677029
2009-12-31,0.0202,20.7,0.464144813,20.53,-0.988822178284
2010-01-31,0.0198,18.91,0.483652544,19.92,-1.13473332763
2010-02-28,0.0203,18.91,0.474653503,21.0,-1.02144588215
2010-03-31,0.019,19.01,0.453761684,21.8,-0.687023750772
2010-04-30,0.0183,17.3,0.448712196,20.48,-0.701834582666
2010-05-31,0.0195,16.15,0.48933255,19.74,-1.15311806043
2010-06-30,0.0203,15.72,0.52673163,19.67,-1.487403965
2010-07-31,0.0205,15.47,0.493949123,19.77,-1.27163013245
2010-08-31,0.0205,15.61,0.519076045,20.38,-1.38883267243
2010-09-30,0.0199,15.9,0.496228662,21.24,-1.10057005727
2010-10-31,0.0192,15.88,0.481649167,21.7,-0.894825038862
2010-11-30,0.0189,16.05,0.48372273,22.4,-0.818699094504
2010-12-31,0.0183,16.3,0.459896983,22.98,-0.548932626357
2011-01-31,0.0179,16.52,0.451304269,23.49,-0.407993359835
2011-02-28,0.0176,16.04,0.437502734,22.9,-0.337761594676
2011-03-31,0.018,16.21,0.446508305,23.14,-0.414994430793
2011-04-30,0.0178,16.12,0.437254045,23.06,-0.340237009388
2011-05-31,0.018,15.35,0.444701383,22.1,-0.49382681785
2011-06-30,0.0189,15.61,0.464123271,22.61,-0.664155067235
2011-07-31,0.0186,13.79,0.475760027,20.05,-0.941662103857
2011-08-31,0.021,13.5,0.504846527,19.7,-1.39191227855
2011-09-30,0.0215,13.88,0.547315418,20.16,-1.68807453337
2011-10-31,0.0212,14.1,0.493754012,20.35,-1.2776158945
2011-11-30,0.0212,14.3,0.496277916,20.52,-1.28017392656
2011-12-31,0.0213,14.87,0.488424343,21.21,-1.17512883131
2012-01-31,0.0206,15.37,0.470521809,21.8,-0.936622568514
2012-02-29,0.02,15.69,0.452652544,22.05,-0.737684328367
2012-03-31,0.0197,15.7,0.448028674,21.78,-0.702930912563
2012-04-30,0.02,15.22,0.45255012,20.94,-0.835806071036
2012-05-31,0.0209,15.05,0.485013095,20.55,-1.17531749846
2012-06-30,0.0214,15.55,0.481069899,21.0,-1.15525861116
2012-07-31,0.0211,16.14,0.47517225,21.41,-1.05222254834
2012-08-31,0.0208,16.69,0.466679111,21.78,-0.93491407926
2012-09-30,0.0205,16.62,0.462427746,21.58,-0.896112316184
2012-10-31,0.021,16.12,0.471453491,20.9,-1.06364740057
2012-11-30,0.022,16.44,0.470411139,21.24,-1.11873554056
2012-12-31,0.022,17.03,0.468033324,21.9,-1.0447417439
2013-01-31,0.0213,17.32,0.446787597,22.05,-0.822457324141
2013-02-28,0.021,17.68,0.442184391,22.42,-0.731129416903
2013-03-31,0.0207,17.69,0.427624546,22.6,-0.587702706296
2013-04-30,0.0207,18.25,0.425640589,23.41,-0.50273795782
2013-05-31,0.0201,17.8,0.415956075,22.93,-0.423253032206
2013-06-30,0.0206,18.12,0.424538315,23.49,-0.47833893643
2013-07-31,0.0202,17.91,0.404874691,23.36,-0.318108590919
2013-08-31,0.0204,17.88,0.418270035,23.44,-0.420797690219
2013-09-30,0.0204,17.86,0.413206066,23.83,-0.350815591474
2013-10-31,0.0201,18.15,0.396479264,24.64,-0.136519441076
2013-11-30,0.0195,18.04,0.385267376,24.86,0.0155903065485
2013-12-31,0.0194,18.15,0.387882549,24.86,0.00652319634688
2014-01-31,0.0194,18.06,0.402171727,24.59,-0.115353948655
2014-02-28,0.0197,18.48,0.38562394,24.96,0.00235012474803
2014-03-31,0.0194,18.35,0.383950854,24.79,0.026425543539
2014-04-30,0.0196,18.46,0.386070574,24.94,0.00674265157438
2014-05-31,0.0196,18.88,0.37838656,25.56,0.11398646532
2014-06-30,0.0192,18.96,0.374475734,25.82,0.200751234774
2014-07-31,0.0191,18.68,0.380329365,25.62,0.152738375933
2014-08-31,0.0194,18.81,0.366193057,25.92,0.248578654767
2014-09-30,0.0193,18.5,0.374784499,25.16,0.131289824403
2014-10-31,0.02,19.75,0.366099213,26.61,0.253353390734
2014-11-30,0.0191,20.08,0.357232165,26.79,0.41191080237
2014-12-31,0.0192,20.02,0.354233085,26.49,0.396306649833
2015-01-31,0.0197,20.77,0.364723904,27.0,0.322210866976
2015-02-28,0.0194,20.96,0.346056684,26.73,0.452441942183
2015-03-31,0.0196,21.42,0.353306953,26.79,0.388354946354
2015-04-30,0.0196,21.92,0.351704006,26.81,0.399466676257
2015-05-31,0.0196,22.12,0.347947112,26.5,0.396468026681
2015-06-30,0.0199,22.4,0.356315696,26.38,0.299859821436
2015-07-31,0.0201,22.15,0.352286338,25.69,0.247475193612
2015-08-31,0.0207,21.45,0.375911586,24.5,-0.074589606125
2015-09-30,0.0219,22.68,0.386937007,25.49,-0.174862057093
2015-10-31,0.0211,23.67,0.358384403,26.23,0.15763170081
2015-11-30,0.0207,23.74,0.357347055,25.97,0.177743322726
2015-12-31,0.0211,22.18,0.36185996,24.21,-0.0438735880745
2016-01-31,0.0227,22.02,0.379391456,24.0,-0.329319395364
2016-02-29,0.023,23.39,0.381402799,25.37,-0.251308831117
2016-03-31,0.0217,23.97,0.361624417,25.92,0.0512893872237
2016-04-30,0.0212,23.81,0.361115124,25.69,0.0804570550429
2016-05-31,0.0214,23.97,0.35670971,25.84,0.105249022899
2016-06-30,0.0213,24.52,0.360984766,26.69,0.160234358365
2016-07-31,0.0208,24.57,0.349088878,26.95,0.310918488361
2016-08-31,0.0207,24.22,0.34968703,26.73,0.29728471491
2016-09-30,0.0209,23.57,0.357219404,26.53,0.211446751954
2016-10-31,0.0211,23.35,0.36451119,26.85,0.172851906524
2016-11-30,0.021,23.76,0.352348402,27.87,0.356135721826
2016-12-31,0.0203,23.59,0.340669074,28.06,0.518120261812
2017-01-31,0.0202,23.68,0.334795273,28.66,0.621459131323
2017-02-28,0.0198,23.6,0.32295569,29.09,0.77837464949
2017-03-31,0.0196,23.52,0.328116284,28.9,0.744532502055
2017-04-30,0.0198,23.81,0.326445337,29.23,0.766463152328
2017-05-31,0.0197,24.23,0.32269515,29.72,0.844227414158
2017-06-30,0.0194,24.24,0.32610468,29.76,0.852056702288
